temperature,steps,humidity,heart_rate,sleep_count,stress
36.4,1285.0,74.3,73.0,6.2,1
37.0,3873.0,42.7,75.0,6.6,1
36.0,7819.0,53.6,74.0,7.9,0
36.7,13296.0,33.8,68.0,3.9,1
37.3,8382.0,43.6,50.0,4.3,1
35.8,14018.0,77.6,61.0,6.6,1
36.7,7773.0,78.3,84.0,9.9,1
36.7,7866.0,42.4,72.0,3.7,1
37.0,2676.0,50.2,67.0,9.9,1
36.0,12237.0,38.1,81.0,7.7,0
35.9,4458.0,34.5,59.0,8.6,1
36.9,13595.0,89.5,68.0,2.7,1
36.7,13752.0,69.3,71.0,4.4,1
36.7,14206.0,62.5,66.0,2.5,1
36.8,8283.0,75.9,71.0,5.0,1
36.3,10479.0,80.4,68.0,9.9,1
36.7,11899.0,78.4,56.0,2.8,1
36.7,2834.0,31.0,72.0,6.5,1
36.2,9413.0,41.2,57.0,2.0,0
37.5,1480.0,69.3,72.0,7.7,2
36.8,7966.0,52.5,84.0,3.6,2
36.0,3168.0,88.9,67.0,3.0,1
36.9,3561.0,69.9,58.0,4.7,1
36.1,6111.0,87.4,69.0,8.2,1
37.0,7054.0,42.1,62.0,2.9,1
37.2,9724.0,81.8,76.0,3.8,1
36.2,2042.0,49.3,69.0,2.1,1
37.1,8052.0,89.4,87.0,9.7,2
36.8,3557.0,39.5,82.0,6.7,1
37.0,9036.0,61.0,68.0,7.8,1
37.5,9924.0,77.6,77.0,7.2,1
36.5,8794.0,56.0,66.0,3.2,1
36.2,11336.0,58.1,70.0,6.8,1
36.2,5699.0,89.2,66.0,3.1,1
36.2,11711.0,55.5,78.0,5.2,1
36.6,7059.0,66.2,84.0,6.6,1
36.8,7779.0,33.3,78.0,6.5,1
36.7,10073.0,80.5,79.0,3.0,2
37.0,1257.0,68.9,79.0,2.3,2
36.6,10156.0,54.2,76.0,8.4,0
37.3,9660.0,31.0,59.0,7.8,1
36.5,5338.0,65.5,87.0,2.7,1
38.0,2201.0,30.8,88.0,3.0,2
36.9,2273.0,30.1,68.0,9.1,1
36.2,13925.0,67.0,66.0,8.2,1
36.1,10650.0,41.3,76.0,10.0,0
36.8,2779.0,41.5,76.0,4.0,1
36.5,5994.0,69.2,68.0,5.9,1
37.0,9295.0,33.2,57.0,3.9,1
36.8,12698.0,48.8,73.0,7.0,1
36.6,1611.0,39.0,76.0,2.9,1
36.2,4313.0,64.8,77.0,3.0,1
35.8,13456.0,69.7,73.0,2.6,1
36.4,1128.0,73.3,67.0,7.5,1
37.0,3820.0,45.3,80.0,6.0,2
36.7,14426.0,35.4,71.0,6.9,1
36.0,9588.0,34.7,65.0,9.0,0
36.7,4663.0,55.6,68.0,7.9,1
36.8,1938.0,86.8,53.0,5.7,1
36.2,1395.0,43.1,68.0,9.9,1
36.7,4426.0,45.4,77.0,5.7,1
36.6,13341.0,36.1,73.0,2.9,1
36.0,6823.0,66.3,85.0,9.9,1
36.8,11085.0,70.8,67.0,2.2,1
36.9,13856.0,68.6,75.0,6.4,1
37.1,6713.0,81.7,78.0,4.5,2
37.1,3678.0,59.2,93.0,6.0,2
35.9,8240.0,38.1,71.0,6.5,1
36.1,13713.0,47.4,60.0,3.9,1
36.9,12261.0,69.7,78.0,6.5,1
36.9,1922.0,66.8,89.0,8.0,2
36.9,10696.0,61.9,67.0,4.1,1
38.5,9007.0,71.0,78.0,5.1,2
36.9,13704.0,68.2,82.0,4.1,1
37.2,2715.0,82.9,80.0,8.6,2
37.1,8477.0,65.2,71.0,7.8,1
36.9,13312.0,76.7,63.0,9.0,1
36.4,6740.0,44.9,69.0,3.4,1
37.0,7748.0,70.7,75.0,2.6,2
36.2,1986.0,84.1,79.0,3.0,1
36.5,4894.0,53.1,73.0,3.3,1
36.4,5543.0,76.7,66.0,6.3,1
36.6,14232.0,73.5,76.0,9.8,1
37.8,4957.0,33.6,79.0,4.9,2
35.7,7452.0,64.9,74.0,9.7,0
36.9,10398.0,37.8,62.0,2.3,1
35.8,3271.0,88.0,68.0,9.4,1
36.4,7810.0,78.7,79.0,3.4,1
37.1,11340.0,36.6,56.0,9.3,0
36.6,13136.0,37.3,49.0,2.4,1
36.1,9768.0,65.7,85.0,9.6,1
36.2,10367.0,50.7,75.0,3.6,1
36.9,2768.0,32.1,76.0,4.4,1
36.2,14241.0,62.5,59.0,5.9,0
36.7,2856.0,53.3,77.0,5.0,1
36.6,11845.0,36.1,73.0,7.3,0
36.3,4707.0,78.1,54.0,9.8,0
37.7,14070.0,84.9,84.0,6.9,2
36.9,11079.0,75.4,72.0,7.8,1
35.6,11553.0,79.3,66.0,2.7,1
36.7,4067.0,43.0,66.0,7.0,1
36.3,7203.0,45.8,50.0,5.6,0
37.0,9649.0,42.5,76.0,9.1,1
36.2,11780.0,75.9,73.0,5.1,1
36.5,2455.0,86.9,68.0,7.4,1
36.9,14473.0,73.0,83.0,3.8,1
37.0,13463.0,82.9,56.0,4.1,1
36.0,4785.0,68.3,64.0,5.0,1
36.4,12519.0,53.3,61.0,4.4,0
36.4,8257.0,55.5,67.0,4.0,1
36.3,7465.0,34.5,71.0,2.4,1
37.5,5402.0,31.9,74.0,8.7,1
36.8,9134.0,71.7,67.0,2.5,1
36.0,11218.0,56.3,61.0,9.1,0
37.1,6753.0,63.1,87.0,3.0,1
37.7,9809.0,63.5,94.0,2.5,2
37.1,10790.0,46.6,71.0,6.5,1
35.8,10956.0,58.6,62.0,6.0,1
36.4,1728.0,58.2,85.0,5.9,1
37.2,13036.0,53.3,56.0,6.6,1
36.2,7416.0,79.2,67.0,4.3,1
36.8,4674.0,57.1,63.0,7.3,1
37.0,4385.0,66.2,58.0,6.0,1
36.1,7762.0,83.7,67.0,4.7,1
36.6,13416.0,82.0,61.0,8.6,1
35.0,6297.0,83.4,70.0,7.8,1
36.1,11496.0,46.2,70.0,5.1,1
36.5,2355.0,32.1,64.0,8.8,1
36.0,7665.0,45.7,66.0,9.4,0
37.4,14884.0,46.7,68.0,6.3,1
35.9,11786.0,84.6,78.0,3.7,1
36.4,3947.0,69.0,69.0,9.3,1
36.7,8020.0,34.9,78.0,3.5,1
37.3,4271.0,38.1,76.0,2.4,2
35.9,6734.0,39.3,76.0,4.6,0
37.2,11921.0,67.8,84.0,7.8,1
36.6,11797.0,74.1,59.0,9.4,1
36.1,4193.0,81.6,65.0,7.1,1
36.8,13911.0,86.4,88.0,9.6,1
36.7,9296.0,42.1,67.0,2.7,1
36.3,6319.0,48.6,42.0,2.5,0
36.6,8027.0,44.4,68.0,6.8,1
36.4,9471.0,51.5,71.0,9.7,0
36.7,8838.0,84.9,44.0,6.0,1
36.9,7810.0,64.5,83.0,2.4,1
37.4,8069.0,74.3,63.0,3.8,1
36.0,3470.0,59.4,73.0,4.0,1
37.7,12378.0,31.7,68.0,4.7,1
35.6,8585.0,33.9,57.0,2.3,0
36.5,2835.0,62.3,59.0,9.2,1
36.9,11726.0,73.1,61.0,6.1,1
36.7,14054.0,42.9,81.0,7.4,1
36.3,14262.0,73.3,69.0,2.5,1
36.5,6166.0,78.6,65.0,2.4,1
36.4,2897.0,54.7,61.0,6.7,1
36.3,8258.0,74.8,82.0,9.1,1
37.0,2577.0,54.2,85.0,6.2,1
36.8,14076.0,70.7,82.0,9.0,1
36.3,3570.0,75.8,75.0,8.5,1
37.0,4539.0,89.5,73.0,2.6,2
36.8,6693.0,50.7,58.0,3.6,1
37.0,6364.0,54.7,68.0,7.3,1
36.9,12125.0,39.9,63.0,5.5,1
36.2,7388.0,42.2,52.0,4.3,0
36.3,3391.0,71.6,81.0,5.3,1
37.0,4741.0,85.0,63.0,5.6,1
36.9,8128.0,53.7,82.0,9.3,1
36.6,3064.0,40.8,79.0,2.8,1
36.7,9563.0,47.1,76.0,4.2,1
37.2,8920.0,57.3,76.0,6.3,2
36.3,11006.0,47.4,64.0,7.6,0
36.9,14128.0,44.0,89.0,7.0,1
36.5,13772.0,74.2,70.0,9.5,1
36.5,14245.0,30.5,73.0,8.4,0
37.1,4426.0,62.4,64.0,6.5,1
37.0,2842.0,77.6,61.0,3.7,1
37.0,5232.0,46.0,75.0,5.6,1
37.3,13531.0,66.2,72.0,7.5,1
36.6,14609.0,70.1,62.0,8.7,1
36.9,13031.0,69.3,56.0,9.7,1
36.4,2540.0,56.8,57.0,6.8,1
36.8,14264.0,50.8,82.0,6.2,1
36.5,6927.0,80.2,64.0,2.1,1
36.6,1130.0,75.5,67.0,2.6,2
36.9,7194.0,49.3,85.0,3.2,2
36.2,1645.0,36.2,59.0,2.4,1
37.6,8614.0,34.3,63.0,5.2,1
36.1,5740.0,35.7,62.0,4.7,1
36.0,7628.0,65.0,86.0,7.1,1
37.2,9584.0,33.1,90.0,6.3,1
37.0,13163.0,50.2,78.0,6.8,1
36.9,10267.0,75.2,78.0,5.8,1
36.9,7077.0,47.7,64.0,4.2,1
36.6,12472.0,75.8,89.0,9.6,1
36.2,13678.0,74.7,73.0,2.7,1
36.6,2677.0,44.7,79.0,9.5,1
36.3,8447.0,73.7,69.0,4.5,1
37.1,4983.0,74.9,67.0,6.1,1
36.5,1659.0,53.8,87.0,2.9,2
36.2,10360.0,42.6,75.0,2.6,1
36.4,13079.0,61.3,85.0,5.4,1
36.8,3281.0,85.3,73.0,7.9,1
36.3,12374.0,68.4,62.0,4.2,1
36.2,12948.0,40.4,64.0,6.5,1
36.7,13801.0,71.0,71.0,4.2,1
36.7,4714.0,55.6,64.0,5.1,1
36.3,13655.0,65.5,59.0,9.3,1
36.4,5489.0,74.0,82.0,8.8,1
36.7,8733.0,60.9,65.0,6.1,1
35.9,1707.0,78.8,71.0,3.9,1
35.9,1614.0,73.3,73.0,3.5,1
36.2,11085.0,66.9,64.0,9.6,1
36.5,7223.0,39.0,85.0,3.6,1
36.8,4588.0,80.2,59.0,8.5,1
37.3,3666.0,86.2,73.0,5.0,2
37.0,10379.0,38.2,72.0,9.9,1
36.5,1006.0,59.3,69.0,4.9,1
36.6,12282.0,45.5,57.0,4.8,1
36.1,2109.0,75.3,79.0,7.1,1
36.6,3681.0,73.3,77.0,9.7,1
36.5,6407.0,38.5,63.0,9.8,0
36.8,7788.0,82.6,77.0,7.7,1
36.2,5970.0,40.9,74.0,8.0,0
36.9,5490.0,77.8,57.0,6.5,1
37.4,14495.0,57.4,61.0,8.0,1
36.5,9982.0,49.7,81.0,8.9,1
36.8,1328.0,39.5,73.0,5.9,1
36.9,7022.0,40.1,64.0,7.0,1
36.4,13250.0,69.7,61.0,6.3,0
36.7,5220.0,63.0,65.0,6.5,1
36.6,2324.0,37.3,66.0,9.1,1
36.6,11617.0,36.8,62.0,4.8,1
36.2,9484.0,34.3,53.0,3.7,1
36.6,8984.0,74.6,81.0,5.7,2
36.8,1750.0,72.7,80.0,3.7,2
37.3,2967.0,33.5,57.0,6.0,1
37.1,9716.0,63.6,71.0,9.2,1
37.7,3910.0,35.1,61.0,6.9,1
36.2,8057.0,84.2,67.0,8.8,1
37.0,8628.0,84.4,67.0,3.3,1
36.7,4969.0,71.9,66.0,9.2,1
37.7,14278.0,85.6,90.0,6.8,1
36.2,12794.0,78.7,66.0,2.3,1
36.2,11113.0,79.7,62.0,7.1,1
36.3,2092.0,64.2,62.0,9.6,0
35.5,2486.0,48.4,80.0,2.6,1
36.3,7899.0,43.1,53.0,6.7,0
36.2,3250.0,49.6,62.0,9.3,1
36.7,14696.0,67.7,84.0,2.1,1
36.8,3219.0,40.4,72.0,7.0,1
37.5,7825.0,45.5,72.0,5.8,1
37.1,6098.0,58.1,91.0,4.8,1
36.3,9951.0,44.0,72.0,7.0,0
36.2,2807.0,65.3,63.0,2.4,1
36.8,7024.0,85.4,67.0,8.0,1
35.9,4846.0,74.9,59.0,2.0,1
37.5,13429.0,70.0,83.0,4.5,1
37.2,1568.0,65.0,76.0,6.0,2
36.4,13792.0,59.3,81.0,5.0,1
35.7,12662.0,41.2,82.0,4.5,0
37.3,5166.0,83.7,66.0,8.6,1
36.5,12050.0,44.9,61.0,9.5,1
37.2,1437.0,35.5,69.0,9.0,1
35.8,14536.0,75.0,61.0,6.2,0
36.3,8372.0,40.5,72.0,9.1,0
36.6,5246.0,52.3,81.0,9.4,1
36.6,6076.0,31.7,68.0,5.3,1
36.4,1930.0,38.2,71.0,4.3,1
36.9,14851.0,40.4,69.0,2.8,1
36.1,1550.0,33.3,78.0,5.8,1
36.5,10169.0,69.4,63.0,9.6,1
36.7,7198.0,80.2,48.0,6.5,1
36.9,14285.0,52.4,75.0,7.3,1
37.0,4444.0,82.5,80.0,2.9,2
36.0,8449.0,42.8,74.0,3.1,1
35.8,7753.0,49.5,64.0,5.7,1
37.2,10840.0,39.0,59.0,9.6,1
36.8,1952.0,67.2,75.0,4.9,1
36.2,3713.0,55.2,71.0,9.0,1
37.4,4004.0,66.8,69.0,3.0,2
36.7,11334.0,75.7,88.0,6.9,1
37.2,3648.0,62.7,61.0,6.8,1
36.6,9029.0,67.7,88.0,8.9,1
37.6,4013.0,86.1,70.0,2.0,2
37.5,13063.0,47.9,52.0,3.5,1
36.5,14191.0,51.5,68.0,3.8,1
37.1,8259.0,73.1,80.0,9.6,1
36.9,5932.0,66.7,66.0,3.2,1
37.3,4277.0,40.7,55.0,2.3,1
36.1,1697.0,52.6,68.0,6.3,1
36.9,4759.0,58.1,61.0,6.2,1
37.1,10159.0,55.2,75.0,8.8,1
35.7,8471.0,40.7,78.0,9.6,1
36.0,14217.0,85.5,59.0,6.3,1
35.6,6548.0,75.7,63.0,9.4,0
36.5,10714.0,58.9,78.0,7.8,1
37.0,7851.0,70.8,61.0,4.1,1
37.4,8176.0,83.8,59.0,9.4,1
36.6,4749.0,38.2,58.0,7.3,1
37.4,7369.0,45.0,74.0,5.3,2
35.9,7591.0,62.6,73.0,7.4,1
35.7,10893.0,77.9,63.0,5.2,1
36.6,14169.0,32.2,70.0,2.9,1
36.8,5610.0,89.0,85.0,7.8,1
36.6,1591.0,57.3,60.0,8.6,1
35.6,7948.0,51.6,50.0,7.8,0
36.6,8622.0,47.6,75.0,3.8,1
35.9,3358.0,40.5,69.0,9.7,1
36.9,11647.0,77.5,63.0,2.2,1
36.8,14789.0,87.3,77.0,4.7,1
36.1,14241.0,54.8,78.0,4.1,1
36.3,3759.0,87.1,48.0,2.4,1
36.1,13255.0,79.4,63.0,5.2,0
36.6,10863.0,58.9,93.0,7.0,1
37.1,7354.0,70.4,76.0,9.1,2
36.1,8569.0,56.1,77.0,9.9,1
36.9,12894.0,63.5,82.0,8.5,1
36.3,7722.0,33.5,70.0,5.7,1
36.2,6225.0,71.8,78.0,7.8,1
36.5,7905.0,33.2,77.0,8.7,1
36.1,9108.0,79.0,75.0,5.7,1
36.3,3647.0,79.5,67.0,8.3,1
36.0,13613.0,44.2,72.0,5.9,0
37.6,10439.0,49.4,64.0,5.1,1
36.6,9866.0,58.9,70.0,6.2,1
36.3,2393.0,65.8,58.0,7.4,0
36.7,9458.0,47.2,62.0,7.8,1
36.5,2693.0,65.5,67.0,4.9,1
36.5,2102.0,47.9,61.0,6.6,0
36.9,8382.0,33.3,65.0,9.3,0
37.0,6639.0,30.2,68.0,9.8,1
36.3,9243.0,36.1,74.0,3.8,1
36.3,2249.0,77.5,79.0,3.5,1
36.5,7034.0,87.7,65.0,7.4,1
35.4,3447.0,55.6,83.0,5.3,1
35.8,14819.0,60.8,79.0,2.2,1
37.3,8856.0,38.8,75.0,4.8,1
37.4,10624.0,63.1,72.0,8.5,1
36.5,5556.0,38.7,73.0,8.4,1
36.9,2326.0,66.7,82.0,6.0,1
36.8,14662.0,86.0,82.0,5.8,1
38.1,5008.0,41.7,83.0,6.6,2
37.2,6933.0,75.9,70.0,3.8,2
36.5,10098.0,31.4,76.0,6.2,1
36.1,1346.0,52.5,83.0,2.1,1
35.8,12344.0,36.6,64.0,5.8,0
36.7,8512.0,51.1,67.0,4.7,1
36.2,4895.0,40.4,70.0,7.4,1
35.9,1863.0,52.4,79.0,7.1,1
36.3,3275.0,55.1,79.0,5.0,1
36.1,13530.0,48.0,68.0,2.1,1
37.4,10604.0,69.4,55.0,4.0,1
37.0,4499.0,85.1,72.0,7.1,1
36.6,1918.0,54.0,61.0,2.6,1
37.3,10669.0,41.5,55.0,2.9,1
36.6,9014.0,46.2,57.0,7.2,1
36.2,6663.0,81.2,73.0,8.0,1
37.4,6091.0,64.3,84.0,4.6,2
36.9,4035.0,57.3,70.0,5.9,1
36.1,10375.0,39.0,72.0,9.6,0
36.5,14589.0,57.0,82.0,9.6,1
36.2,3460.0,46.7,55.0,4.5,0
35.9,9360.0,86.6,75.0,8.5,1
37.1,6939.0,83.0,70.0,6.8,1
37.6,7254.0,35.0,76.0,9.8,1
35.9,4558.0,61.0,65.0,5.8,0
36.9,12552.0,43.5,62.0,8.2,0
36.3,7794.0,54.6,71.0,8.1,1
36.4,8608.0,82.6,86.0,6.0,1
36.3,5267.0,61.7,79.0,8.4,1
36.2,3545.0,50.1,65.0,4.1,1
36.6,2203.0,42.5,57.0,3.0,1
36.2,10998.0,78.0,53.0,5.4,1
36.7,3747.0,67.5,83.0,9.5,1
36.6,10661.0,58.1,60.0,6.0,1
36.5,6465.0,43.0,67.0,7.1,1
36.1,6821.0,50.1,83.0,7.0,1
36.3,7568.0,87.6,54.0,3.1,1
37.0,6148.0,61.2,85.0,5.1,1
36.9,2409.0,54.0,67.0,7.7,1
36.1,5335.0,61.3,59.0,9.8,0
36.6,10292.0,76.7,68.0,3.3,1
37.0,10321.0,50.4,63.0,5.3,1
35.8,5007.0,40.7,74.0,2.8,1
36.9,7441.0,65.1,64.0,3.9,1
36.3,3708.0,69.9,51.0,5.0,1
36.9,3945.0,72.8,68.0,6.3,1
36.2,1323.0,82.9,56.0,3.8,1
35.7,13554.0,52.3,72.0,3.8,0
35.8,3950.0,34.5,58.0,8.2,0
36.6,4185.0,87.5,65.0,9.7,1
36.7,4914.0,56.1,72.0,4.6,1
36.1,2784.0,67.4,68.0,7.5,1
36.9,9950.0,70.0,73.0,4.1,1
35.8,2052.0,62.8,77.0,9.4,1
36.6,2879.0,42.3,58.0,7.4,0
36.0,10027.0,75.3,69.0,8.4,0
36.3,5755.0,78.2,37.0,2.4,1
36.6,10911.0,63.2,72.0,6.8,1
36.2,8804.0,59.3,67.0,6.2,1
36.4,4584.0,36.8,60.0,4.3,0
37.1,10112.0,35.0,73.0,4.1,1
36.3,2628.0,50.4,82.0,6.6,1
37.0,8510.0,48.7,65.0,7.7,1
36.0,7120.0,87.2,61.0,2.3,1
36.9,4750.0,77.0,72.0,6.5,1
37.3,9456.0,69.6,57.0,3.4,1
35.4,13199.0,61.1,63.0,3.1,0
36.2,14985.0,40.0,82.0,7.0,1
36.9,9509.0,88.7,71.0,4.5,1
36.5,6666.0,52.5,51.0,5.5,1
36.8,4153.0,36.4,52.0,4.9,1
36.3,4599.0,59.6,72.0,7.2,1
36.6,7712.0,82.4,79.0,5.8,1
36.5,6142.0,83.2,54.0,9.7,1
37.2,13793.0,30.7,74.0,4.8,1
36.7,6156.0,83.2,83.0,7.9,2
36.8,6228.0,46.3,89.0,4.1,2
36.4,6369.0,32.3,73.0,6.1,1
36.4,12713.0,80.9,75.0,6.4,1
36.4,10111.0,81.8,49.0,4.6,1
36.8,9598.0,65.8,91.0,5.8,2
36.4,5678.0,64.5,64.0,4.2,1
36.7,12451.0,78.8,61.0,2.0,1
37.6,1537.0,77.2,67.0,3.7,2
37.0,13191.0,83.4,85.0,7.6,1
36.4,8178.0,63.2,92.0,8.2,1
37.2,6576.0,88.1,71.0,4.2,2
36.4,7960.0,89.8,80.0,5.3,1
35.6,10344.0,37.0,70.0,2.3,0
36.1,1179.0,81.0,60.0,3.9,1
35.7,13202.0,60.0,85.0,8.2,1
36.4,7254.0,53.3,64.0,6.8,1
36.6,5802.0,66.8,85.0,3.6,2
37.4,2935.0,33.4,83.0,4.1,2
36.8,7153.0,60.4,76.0,8.5,1
36.5,7949.0,82.3,88.0,3.7,2
37.0,6651.0,42.8,92.0,4.7,2
35.5,10501.0,55.6,68.0,7.3,0
36.7,6893.0,86.4,62.0,6.5,1
37.0,14460.0,55.7,51.0,5.7,0
35.9,9390.0,51.5,92.0,9.2,1
37.2,12305.0,56.4,66.0,3.8,1
36.8,2531.0,61.2,81.0,7.9,1
36.4,6562.0,67.9,63.0,3.3,1
36.9,5716.0,78.0,85.0,6.9,2
37.7,8973.0,57.1,63.0,9.0,1
36.7,13056.0,79.0,58.0,5.7,1
36.7,2097.0,62.0,68.0,7.8,1
36.4,2016.0,50.3,65.0,8.6,1
36.2,12904.0,69.5,76.0,3.1,1
37.0,3980.0,73.1,69.0,7.6,1
36.2,10363.0,63.5,76.0,9.4,1
36.6,8600.0,33.4,67.0,6.6,1
36.4,12661.0,40.2,63.0,3.5,1
36.8,2751.0,47.1,64.0,3.0,1
36.8,2817.0,47.0,90.0,4.1,2
37.1,8795.0,70.4,72.0,2.8,1
36.3,14249.0,31.1,50.0,6.1,0
36.5,6810.0,75.3,65.0,2.6,1
36.1,5577.0,45.9,71.0,3.8,1
36.4,9494.0,48.6,88.0,5.5,1
36.8,14026.0,61.7,80.0,5.8,1
37.0,12717.0,43.0,61.0,6.5,1
36.1,14937.0,83.1,94.0,7.6,1
37.0,1316.0,35.1,70.0,2.4,1
37.3,2580.0,56.7,82.0,2.6,2
36.8,9533.0,81.0,58.0,2.5,1
37.5,12488.0,67.0,46.0,5.4,1
